acl 2.2.53-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.3-1
alsa-lib 1.1.9-2
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
angular-cli 8.3.6-1
aom 1.0.0.errata1-1
archlinux-keyring 20191018-1
argon2 20190702-1
asar 2.0.1-1
asciidoc 8.6.10-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
attica 5.64.0-1
attr 2.4.48-1
audit 2.8.5-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
awesome 4.3-1
babl 0.1.72-1
base 2-1
bash 5.0.011-1
bash-pipes 1.2-2
bc 1.07.1-3
binutils 2.33.1-1
bison 3.4.2-1
blas 3.8.0-2
blueberry 1.2.9-1
bluez 5.52-1
bluez-hid2hci 5.52-1
bluez-libs 5.52-1
bluez-tools 0.2.0-4
bluez-utils 5.52-1
bridge-utils 1.6-3
brillo 1.4.9-1
broadcom-wl 6.30.223.271-142
brotli 1.0.7-1
btrfs-progs 5.3.1-1
bubblewrap 0.3.3-3
bzip2 1.0.8-2
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.47-1
ca-certificates-utils 20181109-1
cairo 1.17.2+17+g52a7c79fd-2
cantarell-fonts 1:0.111-1
cava 0.6.1-1
cdparanoia 10.2-7
cmake 3.15.5-1
colord 1.4.4+9+g1ce26da-1
compton-tryone-git 0.1_beta2.95.g241bbc5-1
containerd 1.3.0-2
coreutils 8.31-2
cracklib 2.9.7-1
cryptsetup 2.2.2-1
curl 7.66.0-1
dav1d 0.4.0-1
db 5.3.28-4
dbus 1.12.16-2
dbus-glib 0.110-1
dconf 0.34.0-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-2
dhcpcd 8.1.1-1
dialog 1:1.3_20190808-1
diffutils 3.7-2
dkms 2.8.1-1
dmenu 4.9-1
dmraid 1.0.0.rc16.3-11
dnssec-anchors 20190629-1
docbook-xml 4.5-8
docbook-xsl 1.79.2-5
docker 1:19.03.4-1
dosfstools 4.1-2
double-conversion 3.1.5-1
e2fsprogs 1.45.4-1
efibootmgr 16-1
efivar 37-1
eog 3.34.1-1
errut 1.0.1-1
exempi 2.5.1-1
exiv2 0.27.2-1
expat 2.2.9-1
fakeroot 1.24-1
ffmpeg 1:4.2.1-3
fftw 3.3.8-1
file 5.37-3
filesystem 2019.10-1
findutils 4.7.0-1
flac 1.3.3-1
flex 2.6.4-2
fontconfig 2:2.13.91+24+g75eadca-1
freetype2 2.10.1-1
fribidi 1.0.7-1
gawk 5.0.1-1
gc 8.0.4-2
gcc 9.2.0-4
gcc-libs 9.2.0-4
gconf 3.2.6+11+g07808097-4
gcr 3.34.0-1
gdbm 1.18.1-2
gdk-pixbuf2 2.40.0-1
gegl 0.4.16-3
gettext 0.20.1-2
giflib 5.2.1-1
gimp 2.10.12-4
git 2.24.0-1
glib-networking 2.62.1-1
glib2 2.62.2-1
glibc 2.30-2
glslang 7.13.3496-1
glu 9.0.1-1
gmp 6.1.2-2
gnome-bluetooth 3.34.0+1+g96295afd-1
gnome-desktop 1:3.34.1-1
gnu-free-fonts 20120503-7
gnupg 2.2.17-2
gnutls 3.6.10-1
go 2:1.13.4-1
